mac,name,pos_x,pos_y,pos_z
C3:00:00:63:4D:09,uabeacon01,6.78,5.01,2
C3:00:00:63:4C:D2,uabeacon02,6.78,2.58,2
C3:00:00:63:4D:05,uabeacon03,4.55,0,2
C3:00:00:63:4D:07,uabeacon04,2.33,0,2
C3:00:00:63:4D:0A,uabeacon05,0.023,2.7,2
C3:00:00:63:4D:0D,uabeacon06,0.023,4.7,2
C3:00:00:63:4D:08,uabeacon07,1.25,7.45,2
C3:00:00:63:4D:04,uabeacon08,6.06,7.31,2
