timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1783610569350,2026-07-09 17:22:49.350,C3:00:00:63:4D:08,-65,127,4.5,6.0,1.5
1783610569429,2026-07-09 17:22:49.429,C3:00:00:63:4D:08,-53,127,4.5,6.0,1.5
1783610569632,2026-07-09 17:22:49.632,C3:00:00:63:4D:08,-58,127,4.5,6.0,1.5
1783610569654,2026-07-09 17:22:49.654,C3:00:00:63:4D:08,-64,127,4.5,6.0,1.5
1783610569668,2026-07-09 17:22:49.668,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610569679,2026-07-09 17:22:49.679,C3:00:00:63:4D:08,-55,127,4.5,6.0,1.5
1783610569772,2026-07-09 17:22:49.772,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610569940,2026-07-09 17:22:49.940,C3:00:00:63:4D:08,-64,127,4.5,6.0,1.5
1783610570072,2026-07-09 17:22:50.072,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610570176,2026-07-09 17:22:50.176,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610570253,2026-07-09 17:22:50.253,C3:00:00:63:4D:08,-60,127,4.5,6.0,1.5
1783610570385,2026-07-09 17:22:50.385,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610570587,2026-07-09 17:22:50.587,C3:00:00:63:4D:08,-52,127,4.5,6.0,1.5
1783610570683,2026-07-09 17:22:50.683,C3:00:00:63:4D:08,-53,127,4.5,6.0,1.5
1783610570785,2026-07-09 17:22:50.785,C3:00:00:63:4D:08,-61,127,4.5,6.0,1.5
1783610570900,2026-07-09 17:22:50.900,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610570990,2026-07-09 17:22:50.990,C3:00:00:63:4D:08,-53,127,4.5,6.0,1.5
1783610571091,2026-07-09 17:22:51.091,C3:00:00:63:4D:08,-59,127,4.5,6.0,1.5
1783610571200,2026-07-09 17:22:51.200,C3:00:00:63:4D:08,-53,127,4.5,6.0,1.5
1783610571297,2026-07-09 17:22:51.297,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610571382,2026-07-09 17:22:51.382,C3:00:00:63:4D:08,-61,127,4.5,6.0,1.5
1783610571397,2026-07-09 17:22:51.397,C3:00:00:63:4D:08,-62,127,4.5,6.0,1.5
1783610571503,2026-07-09 17:22:51.503,C3:00:00:63:4D:08,-53,127,4.5,6.0,1.5
1783610571603,2026-07-09 17:22:51.603,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610571709,2026-07-09 17:22:51.709,C3:00:00:63:4D:08,-61,127,4.5,6.0,1.5
1783610571808,2026-07-09 17:22:51.808,C3:00:00:63:4D:08,-53,127,4.5,6.0,1.5
1783610571907,2026-07-09 17:22:51.907,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610572015,2026-07-09 17:22:52.015,C3:00:00:63:4D:08,-65,127,4.5,6.0,1.5
1783610572119,2026-07-09 17:22:52.119,C3:00:00:63:4D:08,-53,127,4.5,6.0,1.5
1783610572216,2026-07-09 17:22:52.216,C3:00:00:63:4D:08,-54,127,4.5,6.0,1.5
1783610572264,2026-07-09 17:22:52.264,C3:00:00:63:4D:08,-53,127,4.5,6.0,1.5
1783610572314,2026-07-09 17:22:52.314,C3:00:00:63:4D:08,-61,127,4.5,6.0,1.5
1783610572414,2026-07-09 17:22:52.414,C3:00:00:63:4D:08,-52,127,4.5,6.0,1.5
